AAA111,1,RENT | AAA111 | George | 2025-04-08 | 450.00
RENT | CCC333 | George | 2025-04-08 | 450.00
RENT | BBB222 | Anne | 2025-04-08 | 450.00
RETURN | CCC333 | George | 2025-04-08 | 450.00
RENT | CCC333 | Anne | 2025-04-08 | 450.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
RENT | ABC123 | John Doe | 2025-04-10 | 50.00
RETURN | ABC123 | John Doe | 2025-04-10 | 0.00
